Year,Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2008,2008-11,NSX (DC),12429009,3007192,11054485,26490686,211691538.2,153595774.6,117385185.3,482672498.2,53041,4467,38841,96349
2008,2008-11,NYSE (DN),1172261061,707427242,674990717,2554679020,27977873053,34827001325,12893222544,75698096922,6712463,3053137,2977834,12743434
2008,2008-11,NYSE (N),28977414592,0,100,28977414692,6.42E+11,0,28891,6.42E+11,97425920,0,1,97425921
2008,2008-11,NYSE Arca (P),19734002059,12253844495,7113704081,39101550635,4.03E+11,5.31E+11,1.53E+11,1.09E+12,118115625,39720423,37826915,195662963
2008,2008-11,Nasdaq (DQ),26478548959,7291802620,11465247507,45235599086,4.33E+11,2.98E+11,1.93E+11,9.24E+11,60094455,11014248,24773608,95882311
2008,2008-11,Nasdaq (Q),25648604133,15487920896,18334141124,59470666153,5.17E+11,7.79E+11,3.75E+11,1.67E+12,146150912,54602163,79167651,279920726
2008,2008-12,ADF (D),882343524,154412806,294472337,1331228667,18693562373,5667523301,5310206810,29671292484,3901400,447236,1241172,5589808
2008,2008-12,AMEX (A),0,390061158,0,390061158,0,1408898587,0,1408898587,0,572876,0,572876
2008,2008-12,BATS (Z),9262266138,6135402345,4274254116,19671922599,2.00E+11,2.71E+11,81261614333,5.52E+11,64043327,27973524,25035671,117052522
2008,2008-12,CBOE (W),29683100,185612900,48918700,264214700,616842427,12302905487,1157606226,14077354140,39181,174582,192546,406309
2008,2008-12,CHX (M),418458092,256036493,125237669,799732254,9879492055,18151013717,2874003140,30904508912,1072594,228972,214390,1515956
2008,2008-12,ISE (I),1536703836,307460962,588130207,2432295005,22226487914,8983286351,7748212802,38957987066,5244197,695455,2160561,8100213
2008,2008-12,NSX (C),850207890,294390266,285649386,1430247542,14806239003,7354969636,5636770112,27797978751,3336849,525281,1402439,5264569
2008,2008-12,NSX (DC),6687826,2621180,8193433,17502439,145931084.7,80354443.53,107422634.2,333708162.5,32771,2496,30008,65275
2008,2008-12,NYSE (DN),244842113,41380023,190358384,476580520,4525611602,1441254014,2571577829,8538443444,650729,79247,472430,1202406
2008,2008-12,NYSE (N),29501094266,0,300,29501094566,6.36E+11,0,5809.5,6.36E+11,97698241,0,1,97698242
2008,2008-12,NYSE Arca (P),16734153936,11019208238,6424310919,34177673093,3.54E+11,4.64E+11,1.28E+11,9.46E+11,102929989,35498748,33941948,172370685
2008,2008-12,Nasdaq (DQ),27115882044,8695426157,12078326721,47889634922,4.57E+11,3.18E+11,1.93E+11,9.68E+11,66747624,12820650,27122914,106691188
2008,2008-12,Nasdaq (Q),21516553688,13155770529,16755552406,51427876623,4.42E+11,5.92E+11,3.21E+11,1.35E+12,122875511,46152041,70699232,239726784
Day,Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2009,2009-01,ADF (D),807171027,88279720,261940038,1157390785,17828914811,3491408578,4868317889,26188641278,3128570,256690,1011640,4396900
2009,2009-01,AMEX (A),0,247721711,0,247721711,0,999868154.3,0,999868154.3,0,441688,0,441688
2009,2009-01,BATS (Z),9651035975,6123626144,4441510126,20216172245,2.20E+11,2.63E+11,85818752744,5.69E+11,68518100,28335854,27487172,124341126
2009,2009-01,BEX (B),9714881,38783578,6025864,54524323,104238927.6,1465365033,173505888.7,1743109849,26006,118437,23743,168186
2009,2009-01,CBOE (W),53031000,207685300,58131700,318848000,1287607227,11554749998,1556025260,14398382486,80939,253947,179670,514556
2009,2009-01,CHX (M),404650595,252552636,131481384,788684615,10232158504,15500510861,3391251654,29123921019,711552,133418,170514,1015484
2009,2009-01,ISE (I),1452271984,442312778,563620938,2458205700,23376128157,11651896728,7951122865,42979147749,5496501,998221,2036043,8530765
2009,2009-01,NASDAQ (DQ),26807230997,9750359204,12311400233,48868990434,4.63E+11,3.19E+11,1.95E+11,9.77E+11,68681091,15255926,27904288,111841305
2009,2009-01,NASDAQ (Q),21865690007,12831099600,16364868534,51061658141,4.62E+11,5.72E+11,3.16E+11,1.35E+12,126582571,45425013,70632012,242639596
2009,2009-01,NSX (C),729516918,165073162,267128055,1161718135,13674595912,4782031244,5319927328,23776554484,2913477,291954,1132206,4337637
2009,2009-01,NYSE (DN),183654582,20466744,148118000,352239326,3576094019,655423692.6,2205593753,6437111465,424187,35359,343328,802874
2009,2009-01,NYSE (N),27972200218,300,29500,27972230018,5.96E+11,1872.5,544478,5.96E+11,93844563,3,73,93844639
2009,2009-01,NYSE Arca (P),16709312603,10547253244,6473896689,33730462536,3.56E+11,4.24E+11,1.28E+11,9.08E+11,99118913,33704571,33568570,166392054
2009,2009-02,ADF (D),848891118,93242883,275914705,1218048706,15945413708,3728206349,4662136561,24335756619,3047638,298782,1044598,4391018
2009,2009-02,AMEX (A),0,226128538,0,226128538,0,974372028.5,0,974372028.5,0,422214,0,422214
2009,2009-02,BATS (Z),11453848745,7118517249,5114687271,23687053265,2.40E+11,2.78E+11,94457614969,6.12E+11,82547074,33866422,32370049,148783545
2009,2009-02,BEX (B),46693975,147081526,28691451,222466952,862660726.5,6349054494,828317408.4,8040032629,275711,575278,116353,967342
2009,2009-02,CBOE (W),66248800,157874200,50981600,275104600,1129336039,9889463898,1312153424,12330953362,55494,131225,166809,353528
2009,2009-02,CHX (M),341433322,246659496,102040964,690133782,7504562684,14654824235,2539641421,24699028340,391651,141605,113273,646529
2009,2009-02,ISE (I),1641063144,529905140,636544403,2807512687,23771551468,13113397737,7868171923,44753121129,6046844,1181154,2088466,9316464
2009,2009-02,NASDAQ (DQ),31258978243,11217617063,13117986052,55594581358,4.64E+11,3.27E+11,1.94E+11,9.84E+11,77321384,17477891,29696529,124495804
2009,2009-02,NASDAQ (Q),22533171929,13821260620,17159267524,53513700073,4.31E+11,5.74E+11,3.16E+11,1.32E+12,128079433,50464894,72768439,251312766
2009,2009-02,NSX (C),802305563,211331675,263053924,1276691162,13605637049,7317099987,5012583368,25935320403,3097180,459326,1118388,4674894
2009,2009-02,NYSE (DN),169544976,14912300,146729136,331186412,3001272931,414896259.4,2139098150,5555267341,394872,25755,322214,742841
